iter	Passed	Remaining
412	3770	5359
413	3779	5349
414	3787	5339
415	3795	5328
416	3804	5318
417	3812	5308
418	3821	5298
419	3829	5288
420	3837	5278
421	3846	5268
422	3855	5258
423	3863	5249
424	3872	5239
425	3880	5229
426	3889	5219
427	3897	5208
428	3905	5198
429	3919	5195
430	3927	5185
431	3936	5175
432	3945	5167
433	3958	5163
434	3969	5155
435	3977	5145
436	3986	5136
437	3995	5127
438	4004	5116
439	4012	5107
440	4021	5097
441	4030	5088
442	4038	5078
443	4047	5068
444	4055	5058
445	4064	5048
446	4073	5038
447	4081	5029
448	4090	5019
449	4102	5013
450	4111	5004
451	4120	4995
452	4129	4986
453	4138	4977
454	4147	4967
455	4156	4958
456	4169	4953
457	4179	4946
458	4188	4936
459	4199	4929
460	4208	4920
461	4220	4914
462	4231	4907
463	4240	4898
464	4251	4891
465	4262	4884
466	4271	4875
467	4287	4873
468	4298	4867
469	4310	4860
470	4320	4852
471	4331	4845
472	4343	4839
473	4353	4830
474	4365	4825
475	4377	4818
476	4386	4809
477	4395	4800
478	4404	4790
479	4413	4781
480	4423	4772
481	4432	4763
482	4440	4752
483	4448	4742
484	4456	4732
485	4487	4746
486	4500	4741
487	4513	4735
488	4537	4741
489	4552	4738
490	4564	4732
491	4579	4728
492	4593	4723
493	4608	4720
494	4617	4710
495	4627	4701
496	4635	4691
497	4645	4682
498	4654	4673
499	4663	4663
500	4672	4653
501	4680	4643
502	4689	4633
503	4698	4623
504	4707	4613
505	4715	4603
506	4724	4593
507	4733	4584
508	4741	4573
509	4750	4564
510	4759	4554
511	4769	4545
512	4782	4539
513	4794	4533
514	4805	4525
515	4815	4517
516	4825	4507
517	4838	4501
518	4851	4495
519	4861	4487
520	4872	4479
521	4882	4470
522	4893	4462
523	4904	4455
524	4920	4451
525	4933	4445
526	4945	4438
527	4956	4431
528	4968	4424
529	4982	4418
530	4993	4410
531	5005	4403
532	5018	4397
533	5030	4390
534	5041	4382
535	5051	4372
536	5061	4364
537	5071	4355
538	5085	4349
539	5095	4340
540	5105	4331
541	5114	4321
542	5124	4312
543	5134	4303
544	5143	4294
545	5153	4285
546	5163	4275
547	5172	4266
548	5181	4256
549	5193	4248
550	5202	4239
551	5215	4232
552	5225	4223
553	5235	4214
554	5244	4204
555	5254	4195
556	5263	4186
557	5273	4177
558	5282	4167
559	5292	4158
560	5301	4148
561	5311	4139
562	5321	4130
563	5331	4121
564	5341	4112
565	5356	4107
566	5365	4097
567	5374	4087
568	5384	4078
569	5393	4068
570	5406	4061
571	5417	4053
572	5427	4044
573	5436	4034
574	5445	4024
575	5454	4015
576	5463	4005
577	5472	3995
578	5482	3986
579	5491	3976
580	5500	3967
581	5509	3957
582	5518	3947
583	5532	3940
584	5540	3930
585	5549	3920
586	5558	3910
587	5567	3900
588	5575	3890
589	5584	3880
590	5593	3870
591	5602	3860
592	5613	3853
593	5624	3844
594	5635	3835
595	5644	3826
596	5655	3817
597	5665	3808
598	5673	3798
599	5682	3788
600	5691	3778
601	5699	3768
602	5708	3758
603	5717	3748
604	5726	3738
605	5734	3728
606	5743	3718
607	5752	3708
608	5760	3698
609	5769	3688
610	5777	3678
611	5785	3668
612	5794	3658
613	5802	3647
614	5814	3640
615	5825	3631
616	5836	3623
617	5849	3615
618	5862	3608
619	5876	3601
620	5885	3591
621	5897	3584
622	5910	3576
623	5919	3566
624	5930	3558
625	5942	3550
626	5954	3542
627	5964	3533
628	5976	3525
629	5989	3517
630	5997	3507
631	6009	3499
632	6020	3490
633	6029	3480
634	6041	3472
635	6054	3465
636	6063	3455
637	6073	3446
638	6082	3436
639	6091	3426
640	6100	3416
641	6108	3406
642	6117	3396
643	6125	3386
644	6133	3376
645	6142	3365
646	6150	3355
647	6158	3345
648	6167	3335
649	6175	3325
650	6184	3315
651	6192	3305
652	6200	3295
653	6209	3284
654	6217	3274
655	6225	3264
656	6235	3255
657	6246	3246
658	6257	3238
659	6267	3228
660	6276	3219
661	6285	3209
662	6294	3199
663	6303	3189
664	6311	3179
665	6320	3169
666	6329	3159
667	6337	3149
668	6346	3139
669	6354	3130
670	6363	3120
671	6371	3110
672	6380	3100
673	6388	3090
674	6397	3080
675	6408	3071
676	6416	3061
677	6425	3051
678	6436	3042
679	6449	3035
680	6460	3026
681	6472	3017
682	6484	3009
683	6496	3001
684	6509	2993
685	6518	2983
686	6530	2975
687	6543	2967
688	6552	2957
689	6564	2949
690	6576	2940
691	6585	2931
692	6597	2922
693	6609	2914
694	6618	2904
695	6628	2895
696	6637	2885
697	6646	2875
698	6658	2867
699	6670	2858
700	6691	2854
701	6701	2844
702	6710	2834
703	6719	2825
704	6728	2815
705	6738	2805
706	6746	2796
707	6755	2786
708	6764	2776
709	6773	2766
710	6781	2756
711	6790	2746
712	6799	2737
713	6808	2727
714	6816	2717
715	6825	2707
716	6833	2697
717	6842	2687
718	6852	2678
719	6865	2669
720	6878	2661
721	6888	2652
722	6898	2642
723	6907	2633
724	6916	2623
725	6924	2613
726	6933	2603
727	6942	2593
728	6951	2584
729	6959	2574
730	6968	2564
731	6977	2554
732	6986	2544
733	6995	2534
734	7003	2525
735	7012	2515
736	7020	2505
737	7029	2495
738	7038	2485
739	7046	2475
740	7055	2466
741	7066	2457
742	7076	2447
743	7088	2438
744	7100	2430
745	7115	2422
746	7124	2413
747	7135	2403
748	7148	2395
749	7157	2385
750	7168	2376
751	7180	2368
752	7189	2358
753	7200	2349
754	7212	2340
755	7222	2330
756	7233	2321
757	7245	2313
758	7253	2303
759	7266	2294
760	7277	2285
761	7287	2276
762	7298	2267
763	7310	2258
764	7324	2249
765	7333	2240
766	7345	2231
767	7355	2221
768	7364	2212
769	7373	2202
770	7382	2192
771	7391	2183
772	7400	2173
773	7410	2163
774	7419	2154
775	7428	2144
776	7437	2134
777	7445	2124
778	7454	2114
779	7463	2105
780	7472	2095
781	7481	2085
782	7490	2075
783	7502	2066
784	7513	2057
785	7523	2048
786	7532	2038
787	7541	2028
788	7550	2019
789	7558	2009
790	7567	1999
791	7576	1989
792	7585	1980
793	7594	1970
794	7602	1960
795	7611	1950
796	7620	1940
797	7628	1931
798	7637	1921
799	7645	1911
800	7654	1901
801	7663	1892
802	7673	1882
803	7682	1872
804	7690	1862
805	7699	1853
806	7710	1843
807	7722	1835
808	7732	1825
809	7741	1815
810	7755	1807
811	7765	1797
812	7773	1788
813	7782	1778
814	7791	1768
815	7800	1758
816	7810	1749
817	7818	1739
818	7828	1730
819	7837	1720
820	7846	1710
821	7854	1700
822	7863	1691
823	7871	1681
824	7880	1671
825	7889	1661
826	7898	1652
827	7907	1642
828	7916	1632
829	7928	1623
830	7940	1614
831	7949	1605
832	7958	1595
833	7967	1585
834	7976	1576
835	7985	1566
836	7994	1556
837	8003	1547
838	8012	1537
839	8021	1527
840	8029	1518
841	8039	1508
842	8048	1498
843	8057	1489
844	8065	1479
845	8074	1469
846	8082	1460
847	8091	1450
848	8100	1440
849	8109	1431
850	8117	1421
851	8127	1411
852	8140	1402
853	8158	1394
854	8169	1385
855	8178	1375
856	8187	1366
